prefix	 next_hop	 masca	 interfata
401c0 20401c0 ffffff 1
501c0 20501c0 ffffff 0
601c0 20601c0 ffffff 2
701c0 20701c0 ffffff 1
801c0 20801c0 ffffff 1
901c0 20901c0 ffffff 2
a01c0 20a01c0 ffffff 0
b01c0 20b01c0 ffffff 0
c01c0 20c01c0 ffffff 1
d01c0 20d01c0 ffffff 2
e01c0 20e01c0 ffffff 1
f01c0 20f01c0 ffffff 2
1001c0 21001c0 ffffff 1
1101c0 21101c0 ffffff 0
1201c0 21201c0 ffffff 0
1301c0 21301c0 ffffff 1
1401c0 21401c0 ffffff 3
1501c0 21501c0 ffffff 3
1601c0 21601c0 ffffff 0
1701c0 21701c0 ffffff 2
1801c0 21801c0 ffffff 0
1901c0 21901c0 ffffff 0
1a01c0 21a01c0 ffffff 2
1b01c0 21b01c0 ffffff 0
1c01c0 21c01c0 ffffff 0
1d01c0 21d01c0 ffffff 3
1e01c0 21e01c0 ffffff 2
1f01c0 21f01c0 ffffff 2
2001c0 22001c0 ffffff 2
2101c0 22101c0 ffffff 2
2201c0 22201c0 ffffff 0
2301c0 22301c0 ffffff 1
2401c0 22401c0 ffffff 1
2501c0 22501c0 ffffff 1
2601c0 22601c0 ffffff 2
2701c0 22701c0 ffffff 2
2801c0 22801c0 ffffff 3
2901c0 22901c0 ffffff 3
2a01c0 22a01c0 ffffff 1
2b01c0 22b01c0 ffffff 0
2c01c0 22c01c0 ffffff 0
2d01c0 22d01c0 ffffff 1
2e01c0 22e01c0 ffffff 0
2f01c0 22f01c0 ffffff 3
3001c0 23001c0 ffffff 3
3101c0 23101c0 ffffff 2
3201c0 23201c0 ffffff 0
3301c0 23301c0 ffffff 1
3401c0 23401c0 ffffff 2
3501c0 23501c0 ffffff 1
3601c0 23601c0 ffffff 1
3701c0 23701c0 ffffff 0
3801c0 23801c0 ffffff 1
3901c0 23901c0 ffffff 1
3a01c0 23a01c0 ffffff 1
3b01c0 23b01c0 ffffff 3
3c01c0 23c01c0 ffffff 3
3d01c0 23d01c0 ffffff 3
3e01c0 23e01c0 ffffff 1
3f01c0 23f01c0 ffffff 1
4001c0 24001c0 ffffff 2
4101c0 24101c0 ffffff 1
4201c0 24201c0 ffffff 1
4301c0 24301c0 ffffff 1
4401c0 24401c0 ffffff 2
4501c0 24501c0 ffffff 2
4601c0 24601c0 ffffff 0
4701c0 24701c0 ffffff 3
4801c0 24801c0 ffffff 1
4901c0 24901c0 ffffff 1
4a01c0 24a01c0 ffffff 1
4b01c0 24b01c0 ffffff 1
4c01c0 24c01c0 ffffff 1
4d01c0 24d01c0 ffffff 1
4e01c0 24e01c0 ffffff 0
4f01c0 24f01c0 ffffff 2
5001c0 25001c0 ffffff 1
5101c0 25101c0 ffffff 2
5201c0 25201c0 ffffff 0
5301c0 25301c0 ffffff 0
5401c0 25401c0 ffffff 1
5501c0 25501c0 ffffff 1
5601c0 25601c0 ffffff 1
5701c0 25701c0 ffffff 0
5801c0 25801c0 ffffff 1
5901c0 25901c0 ffffff 3
5a01c0 25a01c0 ffffff 2
5b01c0 25b01c0 ffffff 0
5c01c0 25c01c0 ffffff 0
5d01c0 25d01c0 ffffff 3
5e01c0 25e01c0 ffffff 0
5f01c0 25f01c0 ffffff 0
6001c0 26001c0 ffffff 0
6101c0 26101c0 ffffff 2
6201c0 26201c0 ffffff 0
6301c0 26301c0 ffffff 1
6401c0 26401c0 ffffff 2
6501c0 26501c0 ffffff 0
6601c0 26601c0 ffffff 3
6701c0 26701c0 ffffff 3
6801c0 26801c0 ffffff 3
6901c0 26901c0 ffffff 3
6a01c0 26a01c0 ffffff 2
